itemidx,orginidx
151,0
223,1
253,2
260,3
293,4
296,5
318,6
541,7
1036,8
1079,9
1090,10
1097,11
1196,12
1198,13
1200,14
1214,15
1215,16
1219,17
1240,18
1249,19
1258,20
1259,21
1266,22
1278,23
1321,24
1333,25
1358,26
1374,27
1387,28
1967,29
2021,30
2100,31
2118,32
2138,33
2140,34
2143,35
2173,36
2174,37
2193,38
2288,39
2291,40
2542,41
2628,42
2762,43
2872,44
2944,45
2959,46
2968,47
3081,48
3153,49
3479,50
3489,51
3499,52
3889,53
3996,54
4011,55
4027,56
4128,57
4306,58
4467,59
4571,60
4754,61
4896,62
4911,63
4993,64
5026,65
5039,66
5171,67
5540,68
5797,69
5816,70
5952,71
6093,72
6333,73
6539,74
6754,75
6774,76
7046,77
7153,78
7389,79
7438,80
7454,81
7757,82
8368,83
8507,84
8636,85
8961,86
31696,87
3,88
62,89
70,90
110,91
266,92
480,93
589,94
908,95
924,96
1210,97
1270,98
1327,99
1356,100
1544,101
1580,102
1673,103
1748,104
1974,105
2454,106
2455,107
2948,108
2951,109
3150,110
3173,111
3450,112
3513,113
3555,114
3703,115
3753,116
3917,117
3923,118
3926,119
3927,120
3928,121
3930,122
3937,123
3959,124
1,125
32,126
50,127
175,128
316,129
329,130
457,131
490,132
593,133
610,134
788,135
858,136
904,137
919,138
953,139
1060,140
1073,141
1077,142
1084,143
1089,144
1094,145
1103,146
1125,147
1129,148
1193,149
1197,150
1199,151
1206,152
1208,153
1213,154
1220,155
1221,156
1222,157
1230,158
1242,159
1247,160
1257,161
1261,162
1272,163
1276,164
1304,165
1307,166
1345,167
1373,168
1375,169
1376,170
1584,171
1603,172
1653,173
1674,174
1676,175
1721,176
1762,177
1831,178
1876,179
1882,180
1909,181
1917,182
1921,183
2009,184
2018,185
2028,186
2034,187
2046,188
2054,189
2076,190
2093,191
2105,192
2117,193
2150,194
2236,195
2311,196
2329,197
2366,198
2371,199
2391,200
2407,201
2428,202
2448,203
2505,204
2528,205
2529,206
2530,207
2532,208
2551,209
2571,210
2613,211
2615,212
2640,213
2668,214
2694,215
2710,216
2722,217
2750,218
2788,219
2791,220
2797,221
2808,222
2916,223
2918,224
2947,225
2949,226
2985,227
3033,228
3039,229
3070,230
3072,231
3098,232
3142,233
5060,234
11,235
141,236
150,237
282,238
350,239
364,240
368,241
370,242
376,243
377,244
380,245
440,246
454,247
475,248
491,249
500,250
508,251
529,252
531,253
587,254
588,255
590,256
594,257
595,258
671,259
720,260
736,261
780,262
832,263
1028,264
1035,265
1042,266
1080,267
1136,268
1291,269
1393,270
348,271
356,272
539,273
553,274
597,275
750,276
899,277
912,278
920,279
1017,280
1253,281
1256,282
1265,283
1271,284
1357,285
1385,286
1449,287
1777,288
1911,289
2011,290
2012,291
2080,292
2390,293
2403,294
2405,295
2463,296
2641,297
2654,298
2664,299
2671,300
2716,301
2752,302
2881,303
2908,304
2942,305
2987,306
2993,307
3037,308
3086,309
3179,310
3194,311
3341,312
3363,313
3408,314
3417,315
3448,316
3469,317
3510,318
3512,319
3524,320
3578,321
3671,322
3699,323
3793,324
3826,325
3911,326
3932,327
3977,328
3987,329
3988,330
4019,331
4041,332
4186,333
4308,334
4339,335
4545,336
4626,337
4638,338
4643,339
4799,340
4867,341
4874,342
4963,343
4994,344
10,345
21,346
47,347
48,348
161,349
207,350
236,351
277,352
288,353
292,354
339,355
349,356
357,357
372,358
381,359
434,360
442,361
527,362
550,363
551,364
592,365
648,366
733,367
1923,368
1997,369
2706,370
2841,371
3798,372
4022,373
4148,374
4369,375
25,376
969,377
1250,378
2194,379
2384,380
2657,381
3062,382
34,383
36,384
104,385
344,386
608,387
653,388
784,389
786,390
17,391
252,392
314,393
452,394
471,395
497,396
534,397
728,398
745,399
838,400
898,401
911,402
954,403
955,404
1022,405
1023,406
1148,407
1204,408
1207,409
1243,410
1246,411
1262,412
1269,413
1396,414
1610,415
1682,416
1689,417
1947,418
1957,419
2059,420
2078,421
2083,422
2094,423
2125,424
2324,425
2394,426
2414,427
2501,428
2687,429
2724,430
2761,431
3088,432
3097,433
3114,434
3175,435
3360,436
3396,437
3397,438
3471,439
3675,440
3723,441
3751,442
3809,443
3916,444
4535,445
4886,446
4921,447
4995,448
5066,449
5218,450
5267,451
5299,452
5303,453
5380,454
5470,455
5620,456
5629,457
5667,458
5957,459
6297,460
6377,461
6424,462
6533,463
6550,464
6753,465
6776,466
7075,467
7161,468
7263,469
7395,470
8039,471
8360,472
8574,473
8580,474
8695,475
8965,476
8970,477
25752,478
26084,479
26133,480
26294,481
27706,482
31658,483
36525,484
37739,485
40339,486
40629,487
41566,488
44022,489
44709,490
45431,491
45517,492
46976,493
48982,494
50160,495
50872,496
51471,497
52287,498
60069,499
60487,500
246,501
474,502
515,503
596,504
39,505
122,506
916,507
934,508
1380,509
1500,510
1753,511
2144,512
2248,513
2406,514
2470,515
2924,516
3210,517
3461,518
3548,519
3760,520
3868,521
4066,522
4085,523
4089,524
6,525
1233,526
1608,527
2353,528
2683,529
3082,530
3101,531
3256,532
3755,533
4639,534
186,535
1201,536
1209,537
1211,538
1252,539
1283,540
1305,541
1641,542
1784,543
1952,544
2289,545
2997,546
3083,547
3426,548
3507,549
4280,550
4967,551
4973,552
5225,553
5477,554
5608,555
5878,556
6016,557
6197,558
6291,559
7034,560
7234,561
7323,562
7361,563
7456,564
7767,565
8254,566
8645,567
27803,568
30749,569
31410,570
39183,571
41527,572
42197,573
43376,574
44204,575
44555,576
44694,577
51084,578
51174,579
55052,580
55820,581
57792,582
59018,583
59118,584
60482,585
61075,586
63062,587
64701,588
69122,589
71033,590
16,591
111,592
1884,593
1994,594
2023,595
262,596
562,597
778,598
923,599
968,600
1218,601
1228,602
1245,603
1263,604
1285,605
1288,606
1617,607
1704,608
1945,609
1961,610
2005,611
2160,612
2395,613
2728,614
2819,615
2858,616
2952,617
3147,618
3160,619
3347,620
3476,621
3508,622
3679,623
3681,624
3718,625
3897,626
4002,627
4034,628
4105,629
95,630
165,631
494,632
555,633
1047,634
1101,635
1552,636
1587,637
1597,638
1625,639
1918,640
1954,641
2000,642
2001,643
2115,644
2268,645
2402,646
2409,647
2410,648
2411,649
2617,650
2763,651
3006,652
3020,653
3441,654
3525,655
3527,656
3698,657
3994,658
4006,659
4015,660
4018,661
4262,662
4270,663
4351,664
4367,665
4396,666
535,667
678,668
866,669
1059,670
1095,671
1111,672
1188,673
1268,674
1366,675
1408,676
1411,677
1466,678
1527,679
1719,680
1722,681
1729,682
1732,683
1754,684
1804,685
1805,686
1833,687
1835,688
1892,689
1895,690
2006,691
2058,692
2167,693
2294,694
2355,695
2393,696
22,697
261,698
337,699
428,700
1126,701
1517,702
1968,703
2141,704
2161,705
2692,706
3255,707
3686,708
4979,709
